Treatment,Replicate,Avg. Execution Time
"1 AGENTS, 1 MINUTES",1,1.298357899999246
"1 AGENTS, 1 MINUTES",2,3.2941128249512985
"1 AGENTS, 2 MINUTES",1,0.4101847999263554
"1 AGENTS, 2 MINUTES",2,1.2068883248139173
"1 AGENTS, 3 ITERATIONS",1,2.8278878999408334
"1 AGENTS, 3 ITERATIONS",2,1.0671156499302015
"1 AGENTS, 8 ITERATIONS",1,3.4404945999849588
"1 AGENTS, 8 ITERATIONS",2,1.4226496749324724
"2 AGENTS, 1 MINUTES",1,1.3526003001024947
"2 AGENTS, 1 MINUTES",2,0.8129466749960557
"2 AGENTS, 2 MINUTES",1,1.5818933000555262
"2 AGENTS, 2 MINUTES",2,1.4009001000085846
"2 AGENTS, 3 ITERATIONS",1,1.2568430751562119
"2 AGENTS, 3 ITERATIONS",2,1.4875942000653595
"2 AGENTS, 8 ITERATIONS",1,3.2755552500020713
"2 AGENTS, 8 ITERATIONS",2,1.182324199937284
"3 AGENTS, 1 MINUTES",1,2.3253721001092345
"3 AGENTS, 1 MINUTES",2,1.2444813749752939
"3 AGENTS, 2 MINUTES",1,1.8670651749707758
"3 AGENTS, 2 MINUTES",2,1.2493041248526424
"3 AGENTS, 3 ITERATIONS",1,1.1893898501293734
"3 AGENTS, 3 ITERATIONS",2,1.3748210001504049
"3 AGENTS, 8 ITERATIONS",1,1.3663535999367014
"3 AGENTS, 8 ITERATIONS",2,1.1667523998767138
